I.D. Number,Customer Class,Node,Arrival Date,Waiting Time,Service Start Date,Service Time,Service End Date,Time Blocked,Exit Date,Destination,Queue Size at Arrival,Queue Size at Departure
11,3,5,194.77706535954724,0.0,194.77706535954724,46.109072248640075,240.8861376081873,0.0,240.8861376081873,6,2,0
11,3,6,240.8861376081873,0.0,240.8861376081873,12.334749585662195,253.2208871938495,0.0,253.2208871938495,7,0,0
11,3,7,253.2208871938495,0.0,253.2208871938495,9.287730730956724,262.50861792480623,0.0,262.50861792480623,-1,1,0
17,2,1,216.21728967544652,0.0,216.21728967544652,0.030915694962146745,216.24820537040867,0.0,216.24820537040867,2,0,0
17,2,2,216.24820537040867,0.0,216.24820537040867,5.962532614551492,222.21073798496016,0.0,222.21073798496016,3,0,1
17,2,3,222.21073798496016,8.152879891111724,230.36361787607188,49.902437402815906,280.2660552788878,0.0,280.2660552788878,-1,4,1
20,3,1,265.2172057761972,0.0,265.2172057761972,0.3298019351030348,265.54700771130024,0.0,265.54700771130024,2,0,0
20,3,2,265.54700771130024,0.0,265.54700771130024,4.6961852159887485,270.243192927289,0.0,270.243192927289,3,0,0
20,3,3,270.243192927289,0.0,270.243192927289,43.30952414590081,313.5527170731898,0.0,313.5527170731898,-1,3,4
15,2,1,182.1980878604146,0.0,182.1980878604146,0.05467391387927023,182.25276177429387,0.0,182.25276177429387,2,0,0
15,2,2,182.25276177429387,0.0,182.25276177429387,4.640313262610391,186.89307503690426,0.0,186.89307503690426,3,0,1
15,2,3,186.89307503690426,0.0,186.89307503690426,47.978859015554974,234.87193405245924,0.0,234.87193405245924,4,3,4
15,2,4,234.87193405245924,0.0,234.87193405245924,14.396856443602758,249.268790496062,0.0,249.268790496062,5,0,1
15,2,5,249.268790496062,0.0,249.268790496062,43.12704890390765,292.39583939996965,0.0,292.39583939996965,6,0,3
15,2,6,292.39583939996965,0.0,292.39583939996965,9.534046305680874,301.9298857056505,0.0,301.9298857056505,7,0,1
15,2,7,301.9298857056505,0.0,301.9298857056505,12.916787349511878,314.8466730551624,0.0,314.8466730551624,-1,0,1
16,3,1,185.59404989466478,0.0,185.59404989466478,0.051503527016620865,185.6455534216814,0.0,185.6455534216814,2,0,0
16,3,2,185.6455534216814,0.0,185.6455534216814,5.867741925627058,191.51329534730846,0.0,191.51329534730846,3,1,0
16,3,3,191.51329534730846,1.5632811598929095,193.07657650720137,49.82980894514793,242.9063854523493,0.0,242.9063854523493,4,4,3
16,3,4,242.9063854523493,0.0,242.9063854523493,9.029599288171028,251.93598474052033,0.0,251.93598474052033,5,1,0
16,3,5,251.93598474052033,0.0,251.93598474052033,46.078673829551974,298.0146585700723,0.0,298.0146585700723,6,1,2
16,3,6,298.0146585700723,0.0,298.0146585700723,12.639018394619768,310.65367696469207,0.0,310.65367696469207,7,1,0
16,3,7,310.65367696469207,0.0,310.65367696469207,10.318008490361365,320.97168545505343,0.0,320.97168545505343,-1,1,0
